Year	RGDP.PER.CAP.LC	RGDP.PER.CAP.US	RGDP.Growth	RGDP.PER.CAP.Growth	Inflation	Unemployment	Net.Export.Per.RGDP	ExRate	Invest.Per.GDP	POP	Export.US.BA	Export.US.NH.Rate	Import.US.BA	DzBlendOilPrice	OilVolumePerDay	Rsrv.NON.GOLD.US	BoP.US	IRReal	M2.WB	RealFunExp	RealEquiExp	TotExp	RevHydroRate	Taxes	TotRev	GovEduExp.Rate
1990	146248	3605.68701212608	0.80	-1.66808065	16.65253439	19.70	3.39901006	8.95750833	28.89900000	25375810	12880000000	4.11490683	9770000000	24.34400000	783482	724759955	-220000000		343324000000	88800000000	47700000000	140012000000	35.53113553	78000000000	136500000000	
1991	141089	3478.50976269176	-1.20	-3.52712948	25.88638693	20.60	5.16597142	18.47287500	30.94000000	25987928	12440000000	3.77813505	7770000000	21.03800000	803000	1485886738	510000000		414745000000	153800000000	58300000000	195300000000	50.79365079	89600000000	195300000000	
1992	140173	3455.92936294162	1.80	-0.64914004	31.66966191	24.38	3.48812760	21.83607500	29.75800000	26628568	11510000000	4.60469157	8300000000	20.02700000	756500	1457045004	240000000		544456000000	276131000000	144000000000	327800000000	60.90133983	121900000000	328400000000	
1993	133967	3302.91950568634	-2.10	-4.42745905	20.54032612	26.23	2.68608659	23.34540667	28.25900000	27277048	10410000000	5.09125841	7990000000	17.49500000	747300	1474742799	-10000000		584183000000	291417000000	185210000000	503950251000	57.68772348	129500000000	335600000000	
1994	129857	3201.56914402566	-0.90	-3.06850838	29.04765612	27.74	-0.29120868	35.05850083	31.46000000	27887279	8890000000	3.14960630	9150000000	16.19300000	752500	2673875249	-4380000000		675928000000	330403000000	235926000000	535272877000	45.56097561	143200000000	410000000000	
1995	132031	3255.18726869561	3.80	1.67474517	29.77962649	31.84	0.17264485	47.66272667	31.57300000	28470191	10260000000	5.16569201	10100000000	17.40500000	752500	2005167337	-6310000000	-7.90216594	739895000000	473694000000	285923000000	734875979000	51.32139812	236500000000	586500000000	
1996	134780	3322.95538141474	4.10	2.08184989	18.67907586	28.31	4.28087917	54.74893333	25.08300000	29033044	13220000000	4.31164902	9090000000	21.33400000	805700	4235006162	-2090000000	-4.04920736	848250000000	550596000000	174013000000	848600000000	54.73838761	295700000000	749200000000	
1997	133746	3297.46603361265	1.10	-0.76706861	5.73352275	25.43	5.83369916	57.70735000	23.28800000	29579301	13820000000	4.63096961	8130000000	19.62300000	846100	8046742632	1160000000	8.13664538	1003136000000	643555000000	201641000000	914100000000	54.37665782	334600000000	829400000000	
1998	138346	3410.88254401644	5.10	3.43950504	4.95016164	26.85	1.47301096	58.73895833	27.34300000	30054133	10140000000	3.64891519	8630000000	13.01900000	827300	6845539223	-1740000000	15.10400861	1199476000000	663855000000	211884000000	980221650000	58.56905158	344500000000	901500000000	
1999	140805	3471.49196276497	3.20	1.77694242	2.64551113	28.55	3.17605932	66.57387500	26.24800000	30474354	12320000000	3.32792208	8960000000	18.12000000	749633	4525667963	-2375000000	-0.09592263	1366769000000	774695000000	186987000000	1098576715000	51.22185466	380100000000	937100000000	
2000	144124	3553.32420521991	3.80	2.35726435	0.33916319	29.77	11.20100744	75.25979167	23.56400000	30903893	21650000000	2.72517321	9350000000	28.76800000	795992	12023903987	7570000000	-10.33437800	1559914000000	856193000000	321929000000	1255567164000	50.54235838	425840000000	1028840000000	
2001	146423	3610.00605631983	3.00	1.59517814	4.22598835	27.30	8.49646235	77.21502083	29.40300000	31331221	19090000000	2.93347302	9480000000	24.74000000	776600	18081413033	6190000000	1.37540694	2403069491382	963633000000	357395000000	1251794176000	59.30102562	411380000000	1234380000000	
2002	152290	3754.66081538446	5.40	4.00705032	1.41830192	25.90	5.62687403	79.68190000	32.42200000	31750835	18719000000	3.25872109	12011000000	24.90800000	729900	23237503813	3660000000	7.11282850	2836874368258	1097716000000	452930000000	1559844167000	62.86400274	438850000000	1457750000000	
2003	160047	3945.89816094007	6.50	5.09333213	4.26895396	23.72	8.77660719	77.39497500	32.08100000	32175818	24465000000	1.92928674	13322000000	28.72700000	942400	33125171866	7468000000	-0.75036145	3299459519201	1122761000000	516504000000	1711109900000	57.60170864	475890000000	1451450000000	
2004	164930	4066.28204806495	4.50	3.05086148	3.96180030	17.65	10.75553985	72.06065000	32.85100000	32628286	32220000000	2.07945376	17950000000	38.34500000	1311400	43246380714	9250000000	-3.09251854	3644293407790	1250894000000	638036000000	1772657000000	56.42670157	532300000000	1528000000000	
2005	171311	4223.60252133943	5.40	3.86890214	1.38244657	15.27	18.93588513	73.27630833	31.17500000	33109249	46330000000	1.59723721	19850000000	54.64000000	1352000	56303086193	16940000000	-3.88174750	4070442630561	1245132000000	806905000000	1743994000000	54.95681092	596930000000	1635830000000	
2006	173582	4279.61547120827	2.90	1.32618895	2.31149919	12.27	23.66992590	72.64661667	30.36200000	33623506	54740000000	2.06430398	20680000000	66.05000000	1368830	77913736745	17730000000	-2.51051998	4870071993160	1437870000000	1015144000000	3660314977000	54.91870114	610770000000	1667920000000	
2007	176001	4339.25055772831	3.10	1.39346834	3.67899575	13.79	23.07955046	69.29240000	33.57200000	34189416	60590000000	1.61742862	26350000000	74.66000000	1371600	110317600020	29550000000	0.84455844	5994607617030	1674031000000	1434638000000	3052610361000	53.97710882	676116000000	1802616000000	
2008	177150	4367.56538017541	2.50	0.65252794	4.85859063	11.33	26.69641642	64.58280000	35.53700000	34816961	78589000000	1.77505758	37993000000	98.96000000	1356000	143242995145	36990000000	-6.18312466	6955967773529	2217775000000	1973278000000	3950009596000	50.42619543	754800000000	1924000000000	11.021
2009	175873	4336.10054052949	1.20	-0.72042058	5.73706036	10.16	5.05815390	72.64741667	46.06700000	35490445	45186000000	1.70628071	37402000000	62.35000000	1216000	149040598478	3859000000	16.59761447	7292694702848	2300023000000	1946311000000	5382175485000	58.44039331	921000000000	2786600000000	
2010	180761	4456.61027416430	4.80	2.77921908	3.91106196	9.96	11.28804189	74.38598333	43.28700000	36188236	57090000000	1.69732002	38885000000	80.35000000	1189839	162614490298	15326000000	-6.53956357	8280740465950	2659078000000	1807862000000	6169951823000	59.57488236	1068500000000	3081500000000	17.769
2011	182576	4501.35430133520	3.00	1.00399237	4.52421151	9.96	15.62831375	72.93788333	39.75400000	36903376	72888000000	1.68340468	46927000000	112.92000000	1161608	182821825956	20141000000	-7.62022649	9929187740063	3879206000000	1974363000000	5909794134000	49.20465178	1324500000000	2992400000000	17.565
2012	183269	4518.43978956464	2.40	0.37956328	8.89145091	10.97	11.85583225	77.53596667	40.28200000	37646166	71736000000	1.60728226	51569000000	111.49000000	1199795	191297104701	12057000000	-0.00226526	11015134770498	4782634000000	2275539000000	7458104745000	45.18976169	1595750000000	3455650000000	15.984
2013	184275	4543.23444006767	2.60	0.54874363	3.25423911	9.82	5.66084858	79.36840000	44.58200000	38414171	64866572476	1.61957150	54987000000	109.38000000	1202614	194712107088	133231737	7.04435829	11941507586742	4131536000000	1892595000000	6575773544000	42.30104712	1831400000000	3820000000000	17.646
2014	187960	4634.10149179952	4.10	2.00005201	2.91692692	10.21	0.25291668	80.57901667	46.89800000	39205031	60129499253	2.77283758	59670000000	99.68000000	1192833	179617718599	-5881102598	6.45599980	13663911696251	4494327000000	2501442000000	7458769966000	37.40309802	2267450000000	4218180000000	16.469
2015	190027	4685.05902729002	3.20	1.09962062	4.78444701	11.21	-9.64487592	100.69143333	51.78000000	40019529	34565450269	4.29502367	52649000000	52.79000000	1157082	144677455938	-27536789930	13.66835056	13704511417483	4617009000000	3039322000000	9051950224000	36.77841461	2465710000000	4684650000000	16.085
