Year	Inflation	CPI	GDP-LC	RGDP-LC	GDP-DEF	Unemployment	ExRate	ExRateEU	RealExRate	POP	Labour	Export-LC	Import-LC	GDI-CLC	GVA-LC	IRSpread	IRDepo	IRLend	IRReal	ObRes	DiscRate	Rsrv-US	Rsrv-NON-GOLD-US	Loan-ECO	Loan-Stat	BoP-US	Gexp-LC	M2	M1	ML	CD	QM	FunExp	EquiExp	TotExp	RevHydroRate	Taxes	OrdRev	RevPetro	TotRev
1990	16.652534388543	15.519363553840	555800002600	10443257424401	5.322094247159		8.957508333333		220.557194318870	25518074	6398310	130300002300	138600005600	8726794003685	508000010200.000			8.00			9.144230769231	2703474408	724759955	247.000000000000	167.000000000000	-220000000	89300000800	343005000000	270082000000	134942000000	105546000000	72923000000	84000000000	56012000000	140012000000	35.531135531136	78000000	88000000	48500000	136500000
1991	25.886386934851	19.536766053213	844499976200	10317938274200	8.184774455491	20.600000381470	18.472875000000		131.546771571278	26133905	6653838	245900001300	199300005900	8825188165352	766199988200.000			8.00			10.750000000000	3459969141	1485886738	325.800000000000	159.000000000000	510000000	124300001300	415270000000	324993000000	157200000000	133111000000	90276000000	118300000000	77000000000	195300000000	50.793650793651	89600000	96100000	99200000	195300000
1992	31.669661911715	25.723993810749	1048200020000	10503661400700	9.979377476221	24.379999160767	21.836075000000		134.905102310739	26748303	6888852	265399992300	250199998500	8590176584080	968100020200.000			8.00			11.500000000000	3317517177	1457045004	412.300000000000	227.000000000000	240000000	167900004400	515902000000	369719000000	184851000000	140841000000	146183000000	203800000000	124000000000	327800000000	60.901339829476	121900000	128400000	200000000	328400000
1993	20.540326123583	31.007786031487	1165999996900	10283084431700	11.339010241961	26.229999542236	23.345406666667		161.824411859016	27354327	7163372	254000005100	269799997400	8049101041143	1079600021500.000			8.00			11.500000000000	3655668338	1474742799	220.200000000000	527.800000000000	-10000000	202000007200	627427000000	446905000000	211311000000	188933000000	180522000000	303950251000	200000000000	503950251000	57.687723480334	129500000	142000000	193600000	335600000
1994	29.047656117307	40.014821087503	1491500007400	10190537026300	14.636127650100	27.739999771118	35.058500833333		139.728568482338	27937006	7437727	336045768700	388591124500	8049136727586	1368999985200.000	-4.67	16.00	11.33			14.048076923077	4813488033	2673875249	305.800000000000	468.500000000000	-4380000000	266600005600	723514000000	475834000000	222986000000	196452000000	247680000000	323272877000	212000000000	535272877000	45.560975609756	143200000	223200000	186800000	410000000
1995	29.779626486500	51.931085346603	1990600032300	10577776902400	18.818699341715	31.840000152588	47.662726666667		117.133674176324	28478022	7685615	521433219100	577198948400	8306242280838	1809899978800.000	1.83	16.58	18.42	-7.902165938552		14.585164835165	4164319964	2005167337	565.700000000000	401.500000000000	-6310000000	333700005900	799562000000	519107000000	249767000000	210775000000	280455000000	437975979000	296900000000	734875979000	51.321398124467	236500000	285500000	301000000	586500000
1996	18.679075860175	61.631332173507	2570000007200	11011465593600	23.339309244118	28.531000137329	54.748933333333		119.647615353167	28984634	7968414	764843524100	615378780200	8805964964175	2360900059100.000	4.50	14.50	19.00	-4.049207359518		13.657534246575	6296459575	4235006162	776.800000000000	280.600000000000	-2090000000	405399994400	915058000000	589100000000	290884000000	234029000000	325958000000	547000000000	301600000000	848600000000	54.738387613454	295700000	339100000	410100000	749200000
1997	5.733522753572	65.164978627005	2780199911400	11132591708400	24.973519053090	25.430000305176	57.707350000000		129.166165465873	29476031	8233015	859257241600	593227939800	9100131433189	2559500091400.000	3.10	12.60	15.71	8.136645382595		12.278846153846	9666874795	8046742632	741.300000000000	423.700000000000	1160000000	459799986200	1081518000000	671570000000	337621000000	254833000000	409948000000	640600000000	273500000000	914100000000	54.376657824934	334600000	378400000	451000000	829400000
1998	4.950161637931	68.390750400365	2830500102100	11700354287300	24.191576020671	26.662000656128	58.738958333333		135.547290544972	29924668	8477091	639080333300	637318135800	8850341789241	2591500009500.000	2.38	9.13	11.50	15.104008603748		9.660714285714	8452272525	6845539223	906.200000000000	723.200000000000	-1740000000	503599988700	1592461000000	826372000000	390420000000	347570000000	766090000000	771721650000	208500000000	980221650000	58.569051580699	344500000	373500000	528000000	901500000
1999	2.645511133928	70.200035316783	3238198000000	12074765806300	26.817894872218	28.302000045776	66.573875000000		125.314549210642	30346083	8701391	911556400000	737629000000	9463573744733	3011815000000.000	2.50	8.25	10.75	-0.095922629343		5.620879120879	6146079211	4525667963	1150.700000000000	847.900000000000	-2375000000	543603900000	1789350000000	905183000000	439995000000	368375000000	884167000000	817692715000	280884000000	1098576715000	51.221854657987	380100000	457100000	480000000	937100000
2000	0.339163189072	70.438127995293	4123514000000	12533606907100	32.899659535869	29.770000457764	75.259791666667		119.412978276803	30774621	8926622	1734750700000	857221900000	12299786914224	3855688000000.000	2.50	7.50	10.00	-10.334377999220		7.287671232877	13556106802	12023903987	993.700000000000	677.500000000000	7570000000	560135900000	2022534000000	1048184000000	484527000000	467502000000	974350000000	965328164000	290239000000	1255567164000	50.542358384200	425840000	504840000	520000000	1028840000
2001	4.225988348547	73.414835077309	4587607000000	12909615114200	35.536357663784	27.299999237061	77.215020833333		123.204216098016	31200985	9145785	1550898400000	930677500000	11828563510791	3924201000000.000	3.25	6.25	9.50	10.020840817587	3.00	6.000000000000	19625060613	18081413033	1078.400000000000	569.700000000000	6190000000	624559100000	2473516000000	1238510000000	577150000000	554927000000	1235006000000	836294176000	415500000000	1251794176000	59.301025616099	411380000	502380000	732000000	1234380000
2002	1.418301923450	74.456079095308	4901720000000	13606734330400	36.024220661446	25.899999618530	79.681900000000		114.231762470829	31624696	9355943	1605789600000	1159170200000	12275708643580	4145271000000.000	3.25	5.33	8.58	7.168253863732	4.25	5.707417582418	25151012703	23237503813	1266.800000000000	578.600000000000	3660000000	700447400000	2901532000000	1416341000000	664688000000	642168000000	1485191000000	1050166167000	509678000000	1559844167000	62.864002743955	438850000	541350000	916400000	1457750000
2003	4.268953958395	77.634574831113	5687158000000	14491172061900	39.245672991163	23.719999313355	77.394975000000		103.083983097346	32055883	9556009	2008951300000	1254041200000	13602410016396	4849250000000.000	2.88	5.25	8.13	-0.189912529666	6.25	4.914835164835	35454600266	33125171866	1380.200000000000	423.400000000000	7468000000	777521800000	3354422000000	1630380000000	781339000000	718905000000	1724043000000	1097385900000	613724000000	1711109900000	57.601708636191	475890000	615390000	836060000	1451450000
2004	3.961800302572	80.710301651673	6623355000000	15143274804700	43.737930437242	17.649999618530	72.060650000000		103.522205666453	32510186	9747177	2462919600000	1577137700000	14868967443051	5702938000000.000	4.35	3.65	8.00	-3.784161738556	6.50	4.167123287671	45691652467	43246380714	1535.000000000000	-20.600000000000	9250000000	846896200000	3738037000000	2160581000000	874347000000	1127916000000	1577456000000	1200000000000	572657000000	1772657000000	56.426701570681	532300000	665800000	862200000	1528000000
2005	1.382446566621	81.826078445766	7843981000000	15961011644100	49.144635533798	15.270000457764	73.276308333333		101.744625252279	32956690	9916026	3569649300000	1820427100000	16840489700788	7067966000000.000	6.06	1.94	8.00	-6.997051366176	6.50	4.000000000000	59167068864	56303086193	1779.800000000000	-933.200000000000	16940000000	865879100000	4157585000000	2421421000000	920964000000	1224403000000	1736164000000	1200000000000	543994000000	1743994000000	54.956810915560	596930000	736830000	899000000	1635830000
2006	2.311499185144	83.717487582275	8941655000000	16423880981800	54.443008993481	12.270000457764	72.646616666667		101.318430669503	33435080	10077550	4149706900000	1863501300000	18371060361587	8010101000000.000	6.25	1.75	8.00	-2.303736054088	6.50	4.000000000000	81462730475	77913736745	1905.400000000000	-1304.100000000000	17730000000	954867800000	4933744000000	3167640000000	1081358000000	1750432000000	1766105000000	1283446977000	2376868000000	3660314977000	54.918701136745	610770000	751920000	916000000	1667920000
2007	3.678995747417	86.797450390271	9872971000000	16933021292200	58.306021291947	13.789999961853	69.292400000000		99.921438661233	33983827	10244513	4402231800000	2326059400000	18514347478368	8820432000000.000	6.25	1.75	8.00	1.508207775434	6.50	4.000000000000	114972269712	110317600020	2205.200000000000	-2193.100000000000	29550000000	1089003000000	5994608000000	4233573000000	1284493000000	2570418000000	1761035000000	1574943361000	1477667000000	3052610361000	53.977108824065	676116000	829616000	973000000	1802616000
2008	4.858590628149	91.014583180406	11649694000000	17356346824500	67.120656885903	11.329999923706	64.582800000000	94.862300000000	102.242552767421	34569592	10402785	5298034000000	3170777200000	19498510380871	10389775000000.000	6.25	1.75	8.00	-6.339904753617	8.00	4.000000000000	148098646077	143242995145	2615.500000000000	-3627.300000000000	36990000000	1458510400000	6955968000000	4964928000000	1539975000000	2965163000000	1991040000000	2017969196000	1932040400000	3950009596000	50.426195426195	754800000	953800000	970200000	1924000000
2009	5.737060361456	96.236144755193	10920163000000	17564622986400	62.171348673156	10.159999847412	72.647416666667	101.297900000000	100.275451252706	35196037	10551825	3525855100000	3583772000000	17199848577943	9252201000000.000	6.25	1.75	8.00	21.569072360521	8.00	4.000000000000	155111906772	149040598478	3086.500000000000	-3488.900000000000	3859000000	1609366200000	7173052000000	4944159000000	1829348000000	2541937000000	2228893000000	2593741485000	2788434000000	5382175485000	58.440393310845	921000000	1158100000	1628500000	2786600000
2010	3.911061955340	100.000000000000	13224716000000	18407724889800	71.843294481916	9.960000038147	74.385983333333	99.192700000000	100.000000000000	35856344	10832191	4610102500000	3768002900000	19454902086308	11243875000000.000	6.25	1.75	8.00	-6.992750803783	9.00	4.000000000000	170461132879	162614490298	3268.100000000000	-3510.900000000000	15326000000	2065757500000	8280740000000	5756460000000	2098629000000	2922370000000	2524281000000	2837999823000	3331952000000	6169951823000	59.574882362486	1068500000	1245700000	1835800000	3081500000
2011	4.524211505053	104.524211505053	15924670000000	18959956636500	83.991067623769	9.960000038147	72.937883333333	102.215400000000	99.123508713521	36543541	10616990	5658617100000	4184893000000	20576096075081	13733896000000.000	6.25	1.75	8.00	-8.651090429041	9.00	4.000000000000	191369111470	182821825956	3726.500000000000	-3406.600000000000	20141000000	3015170300000	9929188000000	7141699000000	2571481000000	3536191000000	2787489000000	3434306634000	2475487500000	5909794134000	49.204651784521	1324500000	1520000000	1472400000	2992400000
2012	8.891450910623	113.817930460740	17611810000000	19414995595700	90.712407907528	10.970000267029	77.535966666667	102.162700000000	103.909842823323	37260563	11293832	5979809500000	4622074700000	21796635933085	15132092000000.000	6.25	1.75	8.00	0.504068361761	11.00	4.000000000000	200586904241	191297104701	4297.460000000000	-3289.700000000000	12057000000	3293471700000	11015100000000	7681500000000	2952300000000	3380200000000	3333600000000	4608250475000	2849854270000	7458104745000	45.189761694616	1595750000	1894050000	1561600000	3455650000
2013	3.254239109988	117.521838067973	18231035000000	19919785481200	91.522245644694	9.819999694824	79.368400000000	105.437400000000	101.799593887095	38000626	11793700	5528756900000	5061121500000	21949788632770	15408269000000.000	6.25	1.75	8.00	8.100862837692	12.00	4.000000000000	201436604412	194712107088	5156.300000000000	-3235.400000000000	133231737	3185708100000	11941500000000	8249800000000	3204000000000	3564500000000	3691700000000	4335614484000	2240159060000	6575773544000	42.301047120419	1831400000	2204100000	1615900000	3820000000
2014	2.916926920675	120.949864200250	19253765000000	20736496686000	92.849651952053	10.210000038147	80.579016666667	106.906400000000	102.925892812041	38760168	11392848	5252595900000	5500515700000	22330710345299	15986502000000.000	6.25	1.75	8.00	8.325605576207	12.00	4.000000000000	186350590141	179617718599	6504.600000000000	-1992.400000000000	-5881102598	3364920700000	13686800000000	9603000000000	3658900000000	4460800000000	4083700000000	4714452366000	2744317600000	7458769966000	37.403098018577	2267450000	2640450000	1577730000	4218180000
2015	4.784447006939	126.736646357875	18879025000000	21400064579900	88.219476766122	11.210000038147	100.691433333333	111.441800000000	96.574335691204	39543154	11709818	3872626500000	6104032900000	21064495724753	15358949800000.000	6.25	1.75	8.00	15.453258776019	12.00	4.000000000000	150595236895	144677455938	7277.200000000000	567.500000000000	-27536789930	3603312900000	13704500000000	9261100000000	4108100000000	3908500000000	4443400000000	4972278494000	4079671730000	9051950224000	36.778414609416	2465710000	2961710000	1722940000	4684650000
2016	6.397694802687	134.844870195013	19783349000000	22234667098500	88.975242635113	10.199999809265	109.443066666667	121.176600000000	95.581077530289	40339329	11918421	3655739600000	6139437000000	21138084697996	16119030000000.000	6.25	1.75	8.00	6.352723354909	8.00	3.500000000000	120788088861	114390744334	7909.880000000000	2682.207000000000	-26031393503	3658783000000	13816309000000	9406972000000	4497200000000	3745394000000	4409337000000	4807332000000	1894204327000	6701536327000	35.441280861435	2722680000	3064880000	1682550000	4747430000
2017	5.591115909617	142.384203185789	21071656000000	22568187105000	93.368846606786	10.333000183106	110.973016666667	125.323100000000	97.799284003098	41136546	12073799	4272100000000	6170465400000	22054816964960	17398718000000.000	6.25	1.75	8.00	1.512675424220	4.00	3.750000000000	104852543743	97614427695	8880.030000000000	4691.901000000000	-21762451959	3577113100000	14974578000000	10266060000000	4716905000000	4513335000000	4708518000000	4591841961000	1386673120000	5978515081000	39.040272102953	2845374000	3435394000	2200120000	5635514000
